,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score,appid,Tags,description
3498,PAYDAY 2: The Golden Grin Casino Heist,"25 Jun, 2015",Lion Game Lion,505 Games,"['Action', 'RPG']",299.0,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Dutch', 'Russian']",0.0,0.0,1.0,,,,0.7246177211031277,374300,"['Action', 'RPG', 'Co-op', 'Stealth', 'FPS']","Las Vegas is a Desert Mirage, a Jewel Amongst the Sands.The Golden Grin Casino Heist DLC is the 24th DLC pack for PAYDAY 2 and is the final contract from the Dentist. She boasts more Five Diamond hotels than any other city in the world. Her shine and sparkle attracts tens of millions of dreamers every year."
3499,Summer Memories+ - Expansion DLC,"8 Jan, 2021",Dojin Otome,Kagura Games,"['Adventure', 'RPG']",819.0,"['English', 'Japanese', 'Simplified Chinese']",0.0,1.0,1.0,,,,0.7335741124973595,1390150,"['Sexual Content', 'RPG', 'Hentai', 'Nudity', 'Mature', 'Adventure', 'Pixel Graphics', 'Anime', 'Time Management', 'Simulation', 'JRPG', 'Multiple Endings', 'NSFW', 'Indie', 'Singleplayer', 'Casual', 'Funny', 'Memes']","Were there not enough memories to be made in the original? Don't worry, we agree! Enjoy new scenes, new voices, and more memories in this expansion DLC from the developer Dojin Otome."
3500,7'scarlet,"12 Mar, 2019",IDEA FACTORY,Intragames,['Adventure'],2499.0,"['English', 'Japanese', 'Korean', 'Traditional Chinese']",0.0,0.0,1.0,,,,0.7350593273781539,839450,"['Adventure', 'Otome', 'Visual Novel', 'Female Protagonist', 'Anime', 'Romance', 'Dating Sim', 'Horror', 'Singleplayer', 'Mystery', 'Casual', 'Choose Your Own Adventure', 'Fantasy', 'Supernatural', 'Choices Matter', 'Kickstarter']",The remote town of Okunezato is shaped like a crescent moon and shrouded in dark myths and legends. Take on the role of a brave young woman journeying into the unknown to uncover dangerous truths and locate her missing brother with her childhood friend.
3501,MergeCrafter,"23 Aug, 2022",Fiveamp,Fiveamp,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Strategy']",0.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America']",0.0,0.0,1.0,,,,0.7201886851292201,1964220,"['Relaxing', 'Exploration', 'Base Building', 'Collectathon', 'Free to Play', 'Singleplayer', 'Match 3', 'Puzzle', 'Casual', 'Sandbox', 'Crafting', 'Management', 'Strategy', 'Simulation', 'RPG', 'Grid-Based Movement', 'Mining', 'Idler', 'Isometric', 'Voxel']","Welcome to the magical world of Runaria! Explore dungeons, chop trees, mine rocks, and discover hidden treasure! Merge identical items to create valuable resources, Craft new tools and upgrade them with powerful enchantments! Setup passive mining drills and tree farms to rebuild your camp!"
3502,PAYDAY 2: San Martín Bank Heist,"27 Feb, 2020",OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,"['Action', 'RPG']",699.0,"['English', 'French', 'Italian', 'Russian', 'Japanese', 'Simplified Chinese', 'Spanish - Spain', 'Dutch']",0.0,1.0,1.0,,,,0.7169579056163992,1252200,"['Action', 'RPG', 'Violent', 'Gore']","The Payday Gang is down in Mexico, preparing to hit a small town bank that has ties to a powerful drug cartel."
3503,Blade Strangers,"28 Aug, 2018",Studio Saizensen,"Nicalis, Inc.",['Action'],1679.0,"['English', 'Japanese']",0.0,0.0,1.0,,,,0.7108342421554983,565170,"['Action', 'Fighting', '2D Fighter', 'Anime']","A malevolent force known only as Lina is devouring data from a vast, interdimensional network of servers overseen by sentient computers called ”motes.” In desperation, the motes summon heroes from a variety of parallel game worlds to face off against each other in one-on-one combat."
3504,OhShape,"13 Dec, 2019",Odders Lab,Odders Lab,"['Action', 'Casual', 'Indie', 'Sports']",1999.0,"['English', 'Spanish - Spain', 'French', 'German', 'Traditional Chinese', 'Korean']",1.0,0.0,1.0,,,,0.7437773072388976,1098100,"['Sports', 'VR', 'Action', 'Indie', 'Rhythm', 'Casual', 'Music', 'Singleplayer', 'Fast-Paced', 'Difficult', 'First-Person', 'Great Soundtrack', 'Moddable', 'Futuristic', 'Family Friendly']","OhShape is a rhythm VR game where players have to move their full body to go through, punch or dodge walls following the beat of the music. It's an immersive game for all type of players inspired by the Japanese TV show Hole in the Wall."
3505,"Northgard - Himminbrjotir, Clan of the Ox","29 Jan, 2020",Shiro Games,Shiro Unlimited,"['Indie', 'Simulation', 'Strategy']",449.0,"['English', 'French', 'German', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Polish', 'Spanish - Spain', 'Turkish', 'Italian', 'Portuguese - Portugal']",0.0,0.0,1.0,,,,0.7000178245468698,1223060,"['Strategy', 'Indie', 'Simulation']","Led by Torfin, an ancient leader who returned to help his progeny, it is known for its tremendous might and unrelenting devotion to its ancestors. While they may not be the fastest starters, once they've gained some momentum, they can crush anyone and anything in their way."
3506,Paranormal Cleanup,"15 Feb, 2023",Manic Mice,Manic Mice,"['Action', 'Adventure', 'Indie', 'Early Access']",499.0,['English'],0.0,1.0,1.0,,,,0.676530036032937,2197890,"['Early Access', 'Horror', 'Psychological Horror', 'Online Co-Op', 'Action-Adventure', 'First-Person', 'Choices Matter', 'Stealth', 'Nonlinear', 'Survival Horror', 'Action', 'Team-Based', 'Realistic', 'Demons', 'Multiplayer', 'Dark', 'Collectathon', 'Procedural Generation', 'PvE', '3D']","Paranormal Cleanup is a 1-4 player online co-op survival horror game. This is no ordinary clean-up job. You are employees of a cleaning company tasked with cleaning up a haunted house. Take out the trash, but don't get caught by the ghosts that haunt the place!"
3507,Soul Nomad & the World Eaters,"31 Aug, 2021","Nippon Ichi Software, Inc.","NIS America, Inc.","['RPG', 'Strategy']",1999.0,"['English', 'Japanese']",1.0,0.0,1.0,,,,0.7101937073805207,1535610,"['RPG', 'Strategy', 'Strategy RPG', 'Tactical RPG', 'Turn-Based Tactics', 'Anime', 'Fantasy', 'Tactical', 'Choices Matter', 'Grid-Based Movement', 'Multiple Endings', 'Turn-Based Combat', 'Singleplayer', 'JRPG']","For the first time ever, Soul Nomad &amp; the World Eaters is coming to Steam! With unique gameplay mechanics, memorable characters, and up-scaled artwork, this is a must-have for Strategy RPG fans and NIS fans alike!"
3508,Demon Sword: Incubus,"17 Jun, 2022",Brianode,Eroge Japan,"['Action', 'Indie', 'RPG']",1950.0,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",1.0,1.0,1.0,,,,0.705502843542243,1803960,"['Action', 'RPG', '2D Fighter', 'JRPG', '3D Fighter', ""Beat 'em up"", '3D Platformer', 'Side Scroller', 'Spectacle fighter', '2.5D', '3D', 'Cute', 'Anime', 'Cartoon', 'Fantasy', 'Medieval', 'Swordplay', 'Magic', 'Controller', 'Tutorial']","Use sword and spell combos to slash and blast through hordes of attacking enemies! Guard break a boss's defenses, find an opening, then obliterate them for good with a well-placed super deadly attack! Satisfying 3D side-scrolling action with game-play elements inspired by fighting games!"
3509,Borderlands 2: Assassin Madness Pack,"22 Jan, 2013",Gearbox Software,2K,"['Action', 'RPG']",99.0,"['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish - Spain', 'Korean']",0.0,0.0,1.0,,,,0.6898626801509369,225832,"['Action', 'RPG']",Enhance your Vault-hunting experience with a fresh new style! This pack contains the Murder of Crows head and The Nature of Fear skin for the Assassin - look for them in the character customization menu! This content not included in Season Pass.
3510,Start Over,"20 Apr, 2023",EY-Studio,EY-Studio,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",1479.0,['English'],0.0,1.0,1.0,,,,0.7263108134805697,2350020,"['Early Access', 'Survival', 'Base Building', 'Crafting', 'Exploration', 'Tower Defense', 'Sandbox', 'Building', 'Action', 'First-Person', 'Simulation', 'Relaxing', 'Adventure', 'Realistic', 'Multiplayer', 'Singleplayer', 'Action-Adventure', 'Immersive Sim', 'Combat', 'Open World']","Start Over is a thrilling multiplayer survival game that takes you to a deserted island where you must build a base, craft equipment, and defend against waves of enemies. Collaborate with other players to build a thriving community, or become a lone wolf."
